nobeli,namasup,nilaifak,jumlah,total,kodesup,satauan_brg
BL-452920,AZKA,220000,150,33000000,NKMT,PACK
BL-452921,ALFAMART,342000,150,51300000,AFM,PACK
BL-452922,FREELINE,677500,150,101625000,FREE,PACK
BL-452923,NIKMAT,1331000,150,199650000,NMT,PACK
BL-452924,AIR MANCUR,1425750,150,213862500,AM,PACK
BL-452925,JAYA BERHASIL B,174609.66,150,26191449,JBB,PACK
BL-452926,PT K33 DISTRIBUSI,1102478.64,150,165371796,K33,PACK
BL-452927,TOP COLLECTION,3200500,150,480075000,TOP,PACK
BL-452928,ROTI KITA,56000,150,8400000,RK,PACK
BL-452929,MARGA NJ,512188.41,150,76828261.5,SI,PACK
BL-452930,PERMEN,301025,150,45153750,PRM,PACK
BL-452931,ORANG ARING,215824,150,32373600,OA,PACK
BL-452932,PT ASIA SEJAHTERA PP,204156.6,150,30623490,ASPP,PACK
BL-452933,SINAR BAKERI,169000,150,25350000,SNB,PACK
BL-452934,VENUS,233000,150,34950000,VNS,PACK
BL-452935,INTIDAYA RM,282020.5,150,42303075,IRM,PACK
BL-452937,FREELINE,372000,150,55800000,FREE,PACK
BL-452938,ABON 99,210000,150,31500000,ABON,PACK
BL-452939,INDOMARCO,2355354.1,150,353303115,IDM,PACK
BL-452940,INDOMARCO,2481544,150,372231600,IDM,PACK
BL-452941,SUPRALITA MANDIRI,1779151,150,266872650,SPLM,PACK
BL-452942,SUPRALITA MANDIRI,684715,150,102707250,SPLM,PACK
BL-452943,PT SEMESTA DISTRIBUSI INDONESIA,153229.18,150,22984377,SDI,PACK
BL-452944,DISTRIBUSI KI,290545.83,150,43581874.5,DKI,PACK
BL-452945,SUPRALITA MANDIRI,1705803,150,255870450,SPLM,PACK
BL-452946,SUPRALITA MANDIRI,1535253,150,230287950,SPLM,PACK
BL-452947,SUPRALITA MANDIRI,4151228,150,622684200,SPLM,PACK
BL-452948,SOSRO,145000,150,21750000,SSRO,PACK
BL-452949,FREELINE,102000,150,15300000,FREE,PACK
BL-452950,CITRA NIAGA KL,6835250,150,1025287500,CKL,PACK
BL-452951,FREELINE,220000,150,33000000,FREE,PACK
BL-452952,TANJUNG,857000,150,128550000,TJG,PACK
BL-452953,CATUR SENTOSA A,886045.46,150,132906819,CSA,PACK
BL-452954,PT TOTAL MANDIRI FARMA,208000,150,31200000,TMF,PACK
BL-452955,NIAGA NUSA ABADI,141000,150,21150000,NNA,PACK
BL-452956,FASTRATA,463276.26,150,69491439,FST,PACK
BL-452957,PT SUKA SARI,35400,150,5310000,PT SS,PACK
BL-452958,BERAS MUSTIKA,1030000,150,154500000,BRM,PACK
BL-452959,SASA,286000,150,42900000,SASA,PACK
BL-452960,PT ASIA SEJAHTERA PP,318524.72,150,47778708,ASPP,PACK
BL-452961,ARTA BOGA,504686,150,75702900,AB,PACK
BL-452962,FREELINE,20000,150,3000000,FREE,PACK
BL-452963,PERMEN,85000,150,12750000,PRM,PACK
BL-452964,PT KOREA TOMORROW,649500,150,97425000,15,PACK
BL-452965,ANDRA KRIPIK TEMPE,115000,150,17250000,KT,PACK
BL-452966,MITRA SNACK,1205500,150,180825000,MTR,PACK
BL-452967,TIGA RAKSA SATRIA,3376612.19,150,506491828.5,TG,PACK
BL-452968,SARI RASA,165150,150,24772500,SRRS,PACK
BL-452969,MULIA SEJAHTERA,436648,150,65497200,SNS,PACK
BL-452970,LAMPU,89500,150,13425000,LP,PACK
BL-452971,ANA,3343000,150,501450000,ANA,PACK
BL-452972,ANA,229000,150,34350000,ANA,PACK
BL-452973,KRIDHA MNP,4022131.62,150,603319743,KMNP,PACK
BL-452974,MONALISA ROTI,117000,150,17550000,MNLS,PACK
BL-452975,ANA,1709000,150,256350000,ANA,PACK
BL-452976,PERMEN,30000,150,4500000,PRM,PACK
BL-452977,BINTANG ARIEF,2005000,150,300750000,ALM,PACK
BL-452978,JAMBU BRAND PEANUT,830750,150,124612500,JBP,PACK
BL-452979,MADUSARI RT,47000,150,7050000,MS,PACK
BL-452980,MINISARI ROTI,153000,150,22950000,MR,PACK
BL-452981,BORWITA,183084,150,27462600,TTW,PACK
BL-452982,CLEO,114000,150,17100000,CLEO,PACK
BL-452983,FREELINE,619650,150,92947500,FREE,PACK
BL-452984,SASA/OBK,1350500,150,202575000,OBK,PACK
BL-452985,PT K33 DISTRIBUSI,2169045.45,150,325356817.5,K33,PACK
BL-452986,FREELINE,2316250,150,347437500,FREE,PACK
BL-452987,PINUS MERAH ABADI,337177,150,50576550,PT PM,PACK
BL-452988,FREELINE,285000,150,42750000,FREE,PACK
BL-452989,JAVAS TRIPTA GEMALA,65360,150,9804000,JTG,PACK
BL-452990,MUSTIKA JAYA,249500,150,37425000,MTKJ,PACK
BL-452991,MEGA UTAMA ASTRINDO,6600950,150,990142500,NUA,PACK
BL-452992,CENTRAL GEMILANG,20567622,150,3085143300,CG,PACK
BL-452993,KAORI,4675869,150,701380350,KO,PACK
BL-452994,GERABAH KHORI,517999.92,150,77699988,GK,PACK
BL-452995,CV WAHYU JAYA,1544500,150,231675000,WJ,PACK
BL-452996,KAORI,414250,150,62137500,KO,PACK
BL-452997,ALFA,190000,150,28500000,ALFA,PACK
BL-452998,KRIDHA MNP,133487.49,150,20023123.5,KMNP,PACK
BL-452999,BORWITA,167619,150,25142850,TTW,PACK
BL-453000,TARUNAKUSUMA P,241160.91,150,36174136.5,TP,PACK
BL-453001,DEFA PARFUM,72000,150,10800000,DFP,PACK
BL-453002,ALI JAYA ABADI,1076453.19,150,161467978.5,AJA,PACK
BL-453003,TANJUNG,1164000,150,174600000,TJG,PACK
BL-453004,FREELINE,1077600,150,161640000,FREE,PACK
BL-453005,MUSTIKA JAYA,711130,150,106669500,MTKJ,PACK
BL-453006,TJAHYONO ABADI,722373.57,150,108356035.5,TA,PACK
BL-453007,MUSTIKA JAYA,1519269.32,150,227890398,MTKJ,PACK
BL-453008,POCARI SWEAT,215100,150,32265000,PS,PACK
BL-453009,EFATA ROTI,387000,150,58050000,EFT,PACK
BL-453010,SARI RASA,194400,150,29160000,SRRS,PACK
BL-453011,SO GOOD FOOD,2151500,150,322725000,S G,PACK
BL-453012,SINAR ABADI,2482365,150,372354750,SAB,PACK
BL-453013,SINAR ABADI,1965904,150,294885600,SAB,PACK
BL-453014,SINAR ABADI,1270338,150,190550700,SAB,PACK
BL-453015,SUKUN,784605,150,117690750,SKN,PACK
BL-453016,PERMEN,305000,150,45750000,PRM,PACK
BL-453017,COCA COLA,283800,150,42570000,CC,PACK
BL-453018,ASIA PP,176540,150,26481000,APP,PACK
BL-453019,CITRA NIAGA KL,17652803,150,2647920450,CKL,PACK
BL-453020,SARI RASA,33300,150,4995000,SRRS,PACK
BL-453021,SAPUTRO ABADI,289599,150,43439850,SAK,PACK
BL-453022,NIKMAT,1315000,150,197250000,NMT,PACK
BL-453023,SOZZIS,1646000,150,246900000,SZ,PACK
BL-453024,FREELINE,1701000,150,255150000,FREE,PACK
BL-453025,GAWIH JAYA,187000,150,28050000,GJ,PACK
BL-453026,POCARI SWEAT,742500,150,111375000,PS,PACK
BL-453027,VENUS,287000,150,43050000,VNS,PACK
BL-453028,AIR MANCUR,1283499,150,192524850,AM,PACK
BL-453029,BLORA MAKMUR,403263,150,60489450,BM,PACK
BL-453030,ANUGRAH ARGON M,335464.2,150,50319630,AAM,PACK
BL-453031,SO GOOD FOOD,624096,150,93614400,S G,PACK
BL-453032,FREELINE,157500,150,23625000,FREE,PACK
BL-453033,SEMESTA ND,86500.08,150,12975012,SND,PACK
BL-453034,TJAHYONO ABADI,1181409.63,150,177211444.5,TA,PACK
BL-453035,UNIRAMA DN,905093.78,150,135764067,UDN,PACK
BL-453036,USAHA JAYA,438836.28,150,65825442,USJY,PACK
BL-453037,FREELINE,476115.77,150,71417365.5,FREE,PACK
BL-453038,PERMEN,531000,150,79650000,PRM,PACK
BL-453039,TJAHYONO ABADI,926937.47,150,139040620.5,TA,PACK
BL-453040,SURYA MADISTRINDO,1507350,150,226102500,SM,PACK
BL-453041,SINAR BAKERI,98000,150,14700000,SNB,PACK
BL-453042,SUPRALITA MANDIRI,2773214,150,415982100,SPLM,PACK
BL-453043,USAHA BERKAH,5230800,150,784620000,UB,PACK
BL-453044,MITRA SEHATI SEKATA,410145,150,61521750,MSS,PACK
BL-453045,MITRA SEHATI SEKATA,907202,150,136080300,MSS,PACK
BL-453046,MITRA SEHATI SEKATA,290363,150,43554450,MSS,PACK
BL-453047,SO GOOD FOOD,522295.2,150,78344280,S G,PACK
BL-453048,ROTI KITA,109000,150,16350000,RK,PACK
BL-453049,AE JAYA BATU,320000,150,48000000,AE,PACK
BL-453050,INDOMARCO,2044961,150,306744150,IDM,PACK
BL-453051,RCI KAPAS,588014,150,88202100,RCI,PACK
BL-453052,FASTRATA,859206.6,150,128880990,FST,PACK
BL-453053,PT SUKA SARI,51000,150,7650000,PT SS,PACK
BL-453054,PT ENSEVAL PM,83880,150,12582000,EPM,PACK
BL-453055,PT ENSEVAL PM,460641.48,150,69096222,EPM,PACK
BL-453056,PT KOREA TOMORROW,328000,150,49200000,15,PACK
BL-453057,FASTRATA,405266.55,150,60789982.5,FST,PACK
BL-453058,PT ENSEVAL PM,61638.3,150,9245745,EPM,PACK
BL-453059,FREELINE,745450,150,111817500,FREE,PACK
BL-453060,YAKULT,709000,150,106350000,Y,PACK
BL-453061,PT DISTRIVERSA BUANA MAS,354827.04,150,53224056,DBM,PACK
BL-453062,ARTA BOGA,476989,150,71548350,AB,PACK
BL-453063,GERABAH KHORI,350000,150,52500000,GK,PACK
BL-453064,MAKIN JAYA,834226,150,125133900,MK,PACK
BL-453065,MAKIN JAYA,1899790,150,284968500,MK,PACK
BL-453066,CITRA NIAGA KL,5663754,150,849563100,CKL,PACK
BL-453067,PRAMUKA,342500,150,51375000,PRMK,PACK
BL-453068,PT ENSEVAL PM,318649.92,150,47797488,EPM,PACK
BL-453069,SINARMAS,4671372.85,150,700705927.5,SNRM,PACK
BL-453070,TIGA RAKSA SATRIA,137520,150,20628000,TG,PACK
BL-453071,YD POP CORN,89700,150,13455000,YD,PACK
BL-453072,INDOCAFE,371100,150,55665000,IDC,PACK
BL-453073,TEH DANDANG,25000,150,3750000,DD,PACK
BL-453074,CLEO,44000,150,6600000,CLEO,PACK
BL-453075,TRI USAHA JAYA,631190.4,150,94678560,TUJ,PACK
BL-453076,MONALISA ROTI,51000,150,7650000,MNLS,PACK
BL-453077,FREELINE,110000,150,16500000,FREE,PACK
BL-453078,SARI RASA,268200,150,40230000,SRRS,PACK
BL-453079,SARI RASA,51750,150,7762500,SRRS,PACK
BL-453080,CV DIMENSI TIGA,367500,150,55125000,CV DT,PACK
BL-453081,TANJUNG,2109500,150,316425000,TJG,PACK
BL-453082,GERABAH KHORI,1325000,150,198750000,GK,PACK
BL-453083,TRI USAHA JAYA,3916916.94,150,587537541,TUJ,PACK
BL-453084,FREELINE,591000,150,88650000,FREE,PACK
BL-453085,TRI USAHA JAYA,674029.74,150,101104461,TUJ,PACK
BL-453086,PERMEN,200000,150,30000000,PRM,PACK
BL-453087,TRI USAHA JAYA,576047.82,150,86407173,TUJ,PACK
BL-453088,MULIA SEJAHTERA,785070,150,117760500,SNS,PACK
BL-453089,UD HARI JAYA,885248,150,132787200,HJ,PACK
BL-453090,CITRA NIAGA KL,75741,150,11361150,CKL,PACK
BL-453091,BINA SAN PRIMA,129870,150,19480500,BSP,PACK
BL-453092,DJARUM,1377700,150,206655000,SCM,PACK
BL-453093,MINISARI ROTI,165000,150,24750000,MR,PACK
BL-453094,FREELINE,300000,150,45000000,FREE,PACK
BL-453095,TJAHYONO ABADI,558600.84,150,83790126,TA,PACK
BL-453096,MUSTIKA JAYA,1047450,150,157117500,MTKJ,PACK
BL-453097,TONG TJI,251000,150,37650000,TT,PACK
BL-453098,DEFA PARFUM,399000,150,59850000,DFP,PACK
BL-453099,CAMPINA ICE CREAM,375999.18,150,56399877,CIC,PACK
BL-453100,TEH DANDANG,162096.63,150,24314494.5,DD,PACK
BL-453101,TJAHYONO ABADI,151608.24,150,22741236,TA,PACK
BL-453102,PT HM SAMPOERNA TBK,1069400,150,160410000,SPRN,PACK
BL-453103,COCA COLA,633900,150,95085000,CC,PACK
BL-453104,PAQUITO,658343,150,98751450,SBN,PACK
BL-453105,PT SAI INDONESIA,119880,150,17982000,SAI,PACK
BL-453106,PT SAI INDONESIA,479521.11,150,71928166.5,SAI,PACK
BL-453107,PT SAI INDONESIA,523745.73,150,78561859.5,SAI,PACK
BL-453108,PT SAI INDONESIA,388331.28,150,58249692,SAI,PACK
BL-453109,FREELINE,1055000,150,158250000,FREE,PACK
BL-453110,FREELINE,503400,150,75510000,FREE,PACK
BL-453111,USAHA BERKAH,765000,150,114750000,UB,PACK
BL-453112,FREELINE,472000,150,70800000,FREE,PACK
BL-453113,TANJUNG,3072610,150,460891500,TJG,PACK
BL-453114,JAYA DIPA,995000,150,149250000,JD,PACK
BL-453115,JF TOYS,2115500,150,317325000,JFT,PACK
BL-453116,SANDAL JOGJA,6681000,150,1002150000,SNDLJ,PACK
BL-453117,CV WAHYU JAYA,1270000,150,190500000,WJ,PACK
BL-453118,ULTRAJAYA,756000,150,113400000,UJ,PACK
BL-453119,KRIDHA MNP,201004.35,150,30150652.5,KMNP,PACK
BL-453120,JAVAS TRIPTA GEMALA,299768,150,44965200,JTG,PACK
BL-453121,MUSTIKA JAYA,1340419,150,201062850,MTKJ,PACK
BL-453122,MUSTIKA JAYA,615548,150,92332200,MTKJ,PACK
BL-453123,FREELINE,1169000,150,175350000,FREE,PACK
BL-453124,GALAKSI,180225.15,150,27033772.5,GL,PACK
BL-453125,BORWITA,7048814,150,1057322100,TTW,PACK
BL-453126,TANJUNG,399050,150,59857500,TJG,PACK
BL-453127,SOZZIS,235000,150,35250000,SZ,PACK
BL-453128,LAMPU,735000,150,110250000,LP,PACK
BL-453129,TRI USAHA JAYA,998730.27,150,149809540.5,TUJ,PACK
BL-453134,TJAHYONO ABADI,584906.73,150,87736009.5,TA,PACK
BL-453135,FREELINE,216000,150,32400000,FREE,PACK
BL-453136,PERMEN,190000,150,28500000,PRM,PACK
BL-453137,BORWITA,194350,150,29152500,TTW,PACK
BL-453138,INTERBIS,431101,150,64665150,ITB,PACK
BL-453139,PIA WILIS,270000,150,40500000,PW,PACK
BL-453140,FREELINE,2916750,150,437512500,FREE,PACK
BL-453141,FREELINE,557500,150,83625000,FREE,PACK
BL-453142,SEMESTA ND,957299.52,150,143594928,SND,PACK
BL-453143,SEMESTA ND,194449.8,150,29167470,SND,PACK
BL-453144,ASIA PP,380646.12,150,57096918,APP,PACK
BL-453145,CLEO,40000,150,6000000,CLEO,PACK
BL-453146,SEMESTA ND,293233.48,150,43985022,SND,PACK
BL-453147,NABATI,562936,150,84440400,NBT,PACK
BL-453148,MUBAROK,1450000,150,217500000,MRK,PACK
BL-453149,WISATA,740000,150,111000000,WST,PACK
BL-453150,SARI RASA,225900,150,33885000,SRRS,PACK
BL-453151,PRASAJA,706700,150,106005000,PRAS,PACK
BL-453152,SUKUN,676605,150,101490750,SKN,PACK
BL-453153,PT TIRTA PRIMA RASA BLORA,522746.05,150,78411907.5,BS,PACK
BL-453154,DWI JAYA,409000,150,61350000,DJ,PACK
BL-453155,PERMEN,156000,150,23400000,PRM,PACK
BL-453156,DJARUM,1396700,150,209505000,SCM,PACK
BL-453157,EFATA ROTI,295000,150,44250000,EFT,PACK
BL-453158,AZKA,367000,150,55050000,NKMT,PACK
BL-453159,SARI RASA,27450,150,4117500,SRRS,PACK
BL-453160,PT GONUSA PRIMA DISTRIBUSI,9595.95,150,1439392.5,GPD,PACK
BL-453161,AIR MANCUR,1545500,150,231825000,AM,PACK
BL-453162,UNTUNG JAYA,826338.39,150,123950758.5,UJY,PACK
BL-453163,PT TIRTA PRIMA RASA BLORA,1347368.5,150,202105275,BS,PACK
BL-453164,JENNY,2672250,150,400837500,JJJ,PACK
BL-453165,KELINCI MAS,200000,150,30000000,KM,PACK
BL-453166,NIKMAT,1510000,150,226500000,NMT,PACK
BL-453167,SINAR BAKERI,209500,150,31425000,SNB,PACK
BL-453168,VENUS,229000,150,34350000,VNS,PACK
BL-453169,MARGA NJ,834413.64,150,125162046,SI,PACK
BL-453170,ARTA BOGA,402708,150,60406200,AB,PACK
BL-453171,YAKULT,113000,150,16950000,Y,PACK
BL-453172,SURYA MADISTRINDO,1575000,150,236250000,SM,PACK
BL-453173,UD SRI REJEKI,102500,150,15375000,SR,PACK
BL-453174,FREELINE,190000,150,28500000,FREE,PACK
BL-453175,ROTI KITA,142000,150,21300000,RK,PACK
BL-453176,AJINOMOTO,1265664,150,189849600,AJ,PACK
BL-453177,FREELINE,264000,150,39600000,FREE,PACK
BL-453178,GERABAH KHORI,2104500,150,315675000,GK,PACK
BL-453179,PT KOSMETIKATAMA SUPER INDAH,4096800,150,614520000,KSI,PACK
BL-453180,GALAKSI,2163858,150,324578700,GL,PACK
BL-453181,TANJUNG,283750,150,42562500,TJG,PACK
BL-453182,INTIDAYA RM,312980,150,46947000,IRM,PACK
BL-453183,JAYA KOSMETIK,90000,150,13500000,JK,PACK
BL-453184,INDOMARCO,2225199.66,150,333779949,IDM,BUAH
BL-453185,PT GUNUNG SUBUR,137598.93,150,20639839.5,GN,BUAH
BL-453186,INDOMARCO,1790134,150,268520100,IDM,BUAH
BL-453187,BERAS MUSTIKA,4805000,150,720750000,BRM,BUAH
BL-453188,ANUGERAH JAYA,477738,150,71660700,MM,BUAH
BL-453189,THONG PERKASA JAYA SENTOSA,322458,150,48368700,TPJ,BUAH
BL-453190,PT SUKA SARI,123000,150,18450000,PT SS,BUAH
BL-453191,SASA,302000,150,45300000,SASA,BUAH
BL-453192,FASTRATA,736553.82,150,110483073,FST,BUAH
BL-453193,PT KOREA TOMORROW,593500,150,89025000,15,BUAH
BL-453194,TARUNAKUSUMA P,932441.51,150,139866226.5,TP,BUAH
BL-453195,SINARMAS,4995655.09,150,749348263.5,SNRM,BUAH
BL-453196,RIDER,1438775,150,215816250,RD,BUAH
BL-453197,GABREZ STIKER,16000,150,2400000,GZ,BUAH
BL-453198,YAKULT,515500,150,77325000,Y,BUAH
BL-453199,FREELINE,600000,150,90000000,FREE,BUAH
BL-453200,TANJUNG,533750,50,26687500,TJG,BUAH
BL-453201,MORODADI,102780,50,5139000,MD,BUAH
BL-453202,ARTA BOGA,419520,50,20976000,AB,BUAH
BL-453203,ARUMANIS HAJI ARDI,290000,50,14500000,AHA,BUAH
BL-453204,TEH DANDANG,597500,50,29875000,DD,BUAH
BL-453205,FORTUNA ABADI,1090200,50,54510000,FTA,BUAH
BL-453206,PT APL,476199.74,50,23809987,APL,BUAH
BL-453207,ABADI,696769.2,50,34838460,JAS,BUAH
BL-453208,PARIT PADANG GLOBAL,925341.51,50,46267075.5,PP,BUAH
BL-453209,CLEO,80000,50,4000000,CLEO,BUAH
BL-453210,FREELINE,175000,50,8750000,FREE,BUAH
BL-453211,MALANG SARI SNACK,385000,50,19250000,M S,BUAH
BL-453212,FREELINE,150000,50,7500000,FREE,BUAH
BL-453213,FREELINE,231380,50,11569000,FREE,BUAH
BL-453214,MULIA SEJAHTERA,807617,50,40380850,SNS,BUAH
BL-453215,PT ENSEVAL PM,1550862.03,50,77543101.5,EPM,BUAH
BL-453216,SURYA KS,2756400,50,137820000,PTSKS,BUAH
BL-453217,PT MNB,780300,50,39015000,MNB,BUAH
BL-453218,SARI RASA,69750,50,3487500,SRRS,BUAH
BL-453219,SARI RASA,243000,50,12150000,SRRS,BUAH
BL-453220,PT ENSEVAL PM,2494268.79,50,124713439.5,EPM,BUAH
BL-453221,GERABAH KHORI,500000,50,25000000,GK,BUAH
BL-453222,ARTA BOGA,462252,50,23112600,AB,BUAH
BL-453223,FREELINE,471000,50,23550000,FREE,BUAH
BL-453224,MINISARI ROTI,294000,50,14700000,MR,BUAH
BL-453225,MADUSARI RT,130000,50,6500000,MS,BUAH
BL-453226,ATK,2549894,50,127494700,ATK,BUAH
BL-453227,COCA COLA,314400,50,15720000,CC,BUAH
BL-453228,TEH DANDANG,115195.8,50,5759790,DD,BUAH
BL-453229,GALAKSI,205813.98,50,10290699,GL,BUAH
BL-453230,JAMBU BRAND PEANUT,475500,50,23775000,JBP,BUAH
BL-453231,DWI JAYA,874000,50,43700000,DJ,BUAH
BL-453232,UNIRAMA DN,721558.61,50,36077930.5,UDN,BUAH
BL-453233,UNIRAMA DN,769758.36,50,38487918,UDN,BUAH
BL-453234,GALAKSI,1802607.81,50,90130390.5,GL,BUAH
BL-453235,ADY CIPTA BAROKAH,835000,50,41750000,ACB,BUAH
BL-453236,TANJUNG,1636900,50,81845000,TJG,BUAH
BL-453237,PT TEMPO,4605049.74,50,230252487,TMP,BUAH
BL-453238,GALAKSI,3566607.6,50,178330380,GL,BUAH
BL-453239,ALFA,168000,50,8400000,ALFA,BUAH
BL-453240,TIGA RAKSA SATRIA,3300645.01,50,165032250.5,TG,BUAH
BL-453241,FREELINE,510000,50,25500000,FREE,BUAH
BL-453242,PT TEMPO,2362427.52,50,118121376,TMP,BUAH
BL-453243,TANJUNG,931000,50,46550000,TJG,BUAH
BL-453244,FREELINE,340000,50,17000000,FREE,BUAH
BL-453245,ANA,2564000,50,128200000,ANA,BUAH
BL-453246,ANA,1503000,50,75150000,ANA,BUAH
BL-453247,SALWA MEBEL,686000,50,34300000,SLW,BUAH
BL-453248,SINAR ABADI,6039184,50,301959200,SAB,BUAH
BL-453249,GERABAH KHORI,216000,50,10800000,GK,BUAH
BL-453250,FREELINE,183200,50,9160000,FREE,BUAH
BL-453251,GERABAH KHORI,2643750,50,132187500,GK,BUAH
BL-453252,FREELINE,1529594,50,76479700,FREE,BUAH
BL-453253,FREELINE,815200,50,40760000,FREE,BUAH
BL-453254,SOZZIS,697000,50,34850000,SZ,BUAH
BL-453255,JAYA KOSMETIK,350000,50,17500000,JK,BUAH
BL-453256,SINAR ABADI,360000,50,18000000,SAB,BUAH
BL-453257,TJAHYONO ABADI,1571552.43,50,78577621.5,TA,BUAH
BL-453258,PERMEN,612000,50,30600000,PRM,BUAH
BL-453259,KRIDHA MNP,124700,50,6235000,KMNP,BUAH
BL-453260,CV WAHYU JAYA,1548463,50,77423150,WJ,BUAH
BL-453261,BORWITA,211154,50,10557700,TTW,BUAH
BL-453262,KRIDHA MNP,280992.06,50,14049603,KMNP,BUAH
BL-453263,SEMESTA ND,222914.64,50,11145732,SND,BUAH
BL-453264,PT GONUSA PRIMA DISTRIBUSI,867549.36,50,43377468,GPD,BUAH
BL-453265,JAS HUJAN,3039500,50,151975000,JH,BUAH
BL-453266,PUSAKA KJ,233500,50,11675000,PKY,BUAH
BL-453267,DJARUM,1774200,50,88710000,SCM,BUAH
BL-453268,POCARI SWEAT,679900,50,33995000,PS,BUAH
BL-453269,FREELINE,1283040,50,64152000,FREE,BUAH
BL-453270,GAWIH JAYA,415850,50,20792500,GJ,BUAH
BL-453271,SARI RASA,23400,50,1170000,SRRS,BUAH
BL-453272,POCARI SWEAT,124700,50,6235000,PS,BUAH
BL-453273,AZKA,407000,50,20350000,NKMT,BUAH
BL-453274,SOZZIS,2428000,50,121400000,SZ,BUAH
BL-453275,TRI USAHA JAYA,311673.57,50,15583678.5,TUJ,BUAH
BL-453276,TRI USAHA JAYA,1678974.9,50,83948745,TUJ,BUAH
BL-453277,MUSTIKA JAYA,1747000,50,87350000,MTKJ,BUAH
BL-453278,MUSTIKA JAYA,583230,50,29161500,MTKJ,BUAH
BL-453279,MUSTIKA JAYA,990567,50,49528350,MTKJ,BUAH
BL-453280,NAT,541786.56,50,27089328,NAT,BUAH
BL-453281,FREELINE,1254500,50,62725000,FREE,BUAH
BL-453282,UD HARI JAYA,595440,50,29772000,HJ,BUAH
BL-453283,USAHA BERKAH,660000,50,33000000,UB,BUAH
BL-453284,VENUS,251000,50,12550000,VNS,BUAH
BL-453285,NIKMAT,1173000,50,58650000,NMT,BUAH
BL-453286,BLORA MAKMUR,618871.91,50,30943595.5,BM,BUAH
BL-453287,ARTA BOGA,170000,50,8500000,AB,BUAH
BL-453288,SUKUN,1634655,50,81732750,SKN,BUAH
BL-453289,PT HM SAMPOERNA TBK,1079500,50,53975000,SPRN,BUAH
BL-453290,YAKULT,113000,50,5650000,Y,BUAH
BL-453291,SURYA MADISTRINDO,1248800,50,62440000,SM,BUAH
BL-453292,TARUNAKUSUMA P,882012.19,50,44100609.5,TP,BUAH
BL-453293,PINUS MERAH ABADI,186423.93,50,9321196.5,PT PM,BUAH
BL-453294,PINUS MERAH ABADI,136689.3,50,6834465,PT PM,BUAH
BL-453295,INTAN ALAM INDAH,266110,50,13305500,IAI,BUAH
BL-453296,INTAN ALAM INDAH,485406,50,24270300,IAI,BUAH
BL-453297,TANJUNG,1136000,50,56800000,TJG,BUAH
BL-453298,RIZKY SNACK,290000,50,14500000,RIZKY,BUAH
BL-453299,JAVAS TRIPTA GEMALA,447347,50,22367350,JTG,BUAH
BL-453300,SINAR BAKERI,286000,50,14300000,SNB,BUAH
BL-453301,CITRA NIAGA KL,6919568.4,50,345978420,CKL,BUAH
BL-453302,CITRA NIAGA KL,22454721,50,1122736050,CKL,BUAH
BL-453303,AIR MANCUR,1400750,50,70037500,AM,BUAH
BL-453304,ROTI KITA,145500,50,7275000,RK,BUAH
BL-453305,NAT,178843.99,50,8942199.5,NAT,BUAH
BL-453306,PRAMUKA,240000,50,12000000,PRMK,BUAH
BL-453307,INDOMARCO,3179650.49,50,158982524.5,IDM,BUAH
BL-453308,INDOMARCO,1751578,50,87578900,IDM,BUAH
BL-453309,BAGUS,979081.05,50,48954052.5,BGS,BUAH
BL-453310,ABRID SNACK,2585000,50,129250000,ABRID,BUAH
BL-453311,KAORI,3419378,50,170968900,KO,BUAH
BL-453312,HSP KC,1120000,50,56000000,HSP,BUAH
BL-453313,KAORI,1846075,50,92303750,KO,BUAH
BL-453314,YAKULT,483000,50,24150000,Y,BUAH
BL-453315,NAT,768534.7,50,38426735,NAT,BUAH
BL-453316,RN SOUVENIRS,6060404,50,303020200,RN,BUAH
BL-453317,MOY SNACK,810000,50,40500000,MYS,BUAH
BL-453318,MUHADJIR,260000,50,13000000,MHD,BUAH
BL-453319,FREELINE,216000,50,10800000,FREE,BUAH
BL-453320,CUSSON,3157368.36,50,157868418,CUS,BUAH
BL-453321,FASTRATA,133326.54,50,6666327,FST,BUAH
BL-453322,PT DISTRIVERSA BUANA MAS,869130,50,43456500,DBM,BUAH
BL-453323,PT SUKA SARI,123000,50,6150000,PT SS,BUAH
BL-453324,ANUGERAH JAYA,382955,50,19147750,MM,BUAH
BL-453325,SASA,419500,50,20975000,SASA,BUAH
BL-453326,INDOCAFE,364100,50,18205000,IDC,BUAH
BL-453327,MAKIN JAYA,1006019,50,50300950,MK,BUAH
BL-453328,CITRA NIAGA KL,4820905,50,241045250,CKL,BUAH
BL-453329,BERAS MUSTIKA,525000,50,26250000,BRM,BUAH
BL-453330,FREELINE,1183000,50,59150000,FREE,BUAH
BL-453331,PT KOREA TOMORROW,328000,50,16400000,15,BUAH
BL-453332,KANTOR POS,200000,50,10000000,KTP,BUAH
BL-453333,INDOCAFE,247400,50,12370000,IDC,BUAH
BL-453334,FASTRATA,530072.73,50,26503636.5,FST,BUAH
BL-453335,MITRA SARANA PURNA,1171657.17,50,58582858.5,MSP,BUAH
BL-453336,PT SAI INDONESIA,2299547.04,50,114977352,SAI,BUAH
BL-453337,PT TEMPO,753393.84,50,37669692,TMP,BUAH
BL-453338,MONALISA ROTI,56000,50,2800000,MNLS,BUAH
BL-453339,SARI RASA,115200,50,5760000,SRRS,BUAH
