nobeli,namasup,nilaifak,jumlah,total,kodesup,satauan_brg
BL-452670,FREELINE,935400,25,23385000,FREE,BUAH
BL-452671,FREELINE,780000,25,19500000,FREE,BUAH
BL-452672,MORODADI,2257200,25,56430000,MD,BUAH
BL-452673,SINAR ABADI,6238424,25,155960600,SAB,PACK
BL-452674,MUGI BAROKAH,1168000,25,29200000,MG,PACK
BL-452675,BERAS MUSTIKA,810000,25,20250000,BRM,PACK
BL-452676,BORWITA,1315253,25,32881325,TTW,PACK
BL-452677,SOZZIS,2010000,25,50250000,SZ,PACK
BL-452678,CV WAHYU JAYA,1967313,25,49182825,WJ,PACK
BL-452679,ULTRAJAYA,509800,25,12745000,UJ,PACK
BL-452680,PERMEN,286000,25,7150000,PRM,PACK
BL-452681,POCARI SWEAT,234400,25,5860000,PS,PACK
BL-452682,KRIDHA MNP,159503.67,25,3987591.75,KMNP,PACK
BL-452683,JAVAS TRIPTA GEMALA,191177,75,14338275,JTG,PACK
BL-452684,TJAHYONO ABADI,1343849.25,75,100788693.75,TA,PACK
BL-452685,MUSTIKA JAYA,1176940,75,88270500,MTKJ,PACK
BL-452686,MUSTIKA JAYA,447297,75,33547275,MTKJ,PACK
BL-452687,BORWITA,111917,75,8393775,TTW,PACK
BL-452688,PINUS MERAH ABADI,787304.88,75,59047866,PT PM,PACK
BL-452689,BORWITA,238209,75,17865675,TTW,PACK
BL-452690,USAHA BERKAH,1226000,75,91950000,UB,PACK
BL-452691,FREELINE,372000,75,27900000,FREE,PACK
BL-452692,FREELINE,569920,75,42744000,FREE,PACK
BL-452693,TJAHYONO ABADI,687310.89,75,51548316.75,TA,PACK
BL-452694,FREELINE,274050,75,20553750,FREE,PACK
BL-452695,SO GOOD FOOD,419580,75,31468500,S G,PACK
BL-452696,NUR PRATAMA ELECTRO,872000,75,65400000,NPE,PACK
BL-452697,DJARUM,1528600,75,114645000,SCM,PACK
BL-452698,FREELINE,310000,75,23250000,FREE,PACK
BL-452699,SARI RASA,192150,75,14411250,SRRS,PACK
BL-452700,JAYA BERHASIL B,507619.65,75,38071473.75,JBB,PACK
BL-452701,SUPRALITA MANDIRI,663284,75,49746300,SPLM,PACK
BL-452702,THONG PERKASA JAYA SENTOSA,350818.44,75,26311383,TPJ,PACK
BL-452703,FREELINE,1364500,75,102337500,FREE,PACK
BL-452704,GALAKSI,7450908.3,75,558818122.5,GL,PACK
BL-452705,CITRA NIAGA KL,4891619,75,366871425,CKL,PACK
BL-452706,CITRA NIAGA KL,8013938.5,75,601045387.5,CKL,PACK
BL-452707,AZKA,101000,75,7575000,NKMT,PACK
BL-452708,EFATA ROTI,72000,75,5400000,EFT,PACK
BL-452709,KOPI LELET,144000,75,10800000,KL,PACK
BL-452710,FREELINE,286500,75,21487500,FREE,PACK
BL-452711,NEW MATAHARI,398000,75,29850000,NM,PACK
BL-452712,DEFA PARFUM,717000,75,53775000,DFP,PACK
BL-452713,FREELINE,438000,75,32850000,FREE,PACK
BL-452714,FREELINE,666500,75,49987500,FREE,PACK
BL-452715,SURYA MADISTRINDO,1515150,75,113636250,SM,PACK
BL-452716,VENUS,327000,75,24525000,VNS,PACK
BL-452717,FREELINE,188000,75,14100000,FREE,PACK
BL-452718,FREELINE,92000,75,6900000,FREE,PACK
BL-452719,ROTI KITA,69500,75,5212500,RK,PACK
BL-452720,SINAR BAKERI,208500,75,15637500,SNB,PACK
BL-452721,INTIDAYA RM,267576,75,20068200,IRM,PACK
BL-452722,TARUNAKUSUMA P,241160.91,75,18087068.25,TP,PACK
BL-452724,JAYA BERHASIL B,1590137.16,75,119260287,JBB,PACK
BL-452725,UNTUNG JAYA,730510.98,75,54788323.5,UJY,PACK
BL-452726,YAKULT,113000,75,8475000,Y,PACK
BL-452727,NIKMAT,537000,75,40275000,NMT,PACK
BL-452728,CITRA NIAGA KL,5011473.33,75,375860499.75,CKL,PACK
BL-452729,PT SUKA SARI,123000,75,9225000,PT SS,PACK
BL-452730,KARTIKA,345600,75,25920000,KPM K,PACK
BL-452731,SASA,266300,75,19972500,SASA,PACK
BL-452732,INDOMARCO,1947336,75,146050200,IDM,PACK
BL-452733,INDOMARCO,1350142,75,101260650,IDM,PACK
BL-452734,PT ASIA SEJAHTERA PP,410168.88,75,30762666,ASPP,PACK
BL-452735,DAYA MUDA AGUNG,293761.5,75,22032112.5,DMA,PACK
BL-452736,YAKULT,563500,75,42262500,Y,PACK
BL-452737,FREELINE,525000,75,39375000,FREE,PACK
BL-452738,RIDER,1976000,75,148200000,RD,PACK
BL-452739,SOSRO,265000,75,19875000,SSRO,PACK
BL-452740,NIAGA NUSA ABADI,148000,75,11100000,NNA,PACK
BL-452741,FASTRATA,608795.04,75,45659628,FST,PACK
BL-452742,BINA SAN PRIMA,468929.49,75,35169711.75,BSP,PACK
BL-452743,SUKUN,499640,75,37473000,SKN,PACK
BL-452744,ANA,375000,75,28125000,ANA,PACK
BL-452745,PT HM SAMPOERNA TBK,996750,75,74756250,SPRN,PACK
BL-452746,PT KOREA TOMORROW,390000,75,29250000,15,PACK
BL-452747,INTAN ALAM INDAH,1071075.73,75,80330679.75,IAI,PACK
BL-452748,DWI JAYA,660000,75,49500000,DJ,PACK
BL-452749,ANUGERAH JAYA,855731,75,64179825,MM,PACK
BL-452750,ARTA BOGA,444408,75,33330600,AB,PACK
BL-452751,MULIA SEJAHTERA,1119216,75,83941200,SNS,PACK
BL-452752,ISTANA TOPI,910350,75,68276250,IT,PACK
BL-452753,MAKIN JAYA,1075000,75,80625000,MK,PACK
BL-452754,SARI RASA,176400,75,13230000,SRRS,PACK
BL-452755,MUTIARA AGUNG MULIA,1317300,75,98797500,MAG,PACK
BL-452756,MUSTIKA JAYA,159766,75,11982450,MTKJ,PACK
BL-452757,UNIRAMA DN,950315.4,75,71273655,UDN,PACK
BL-452758,UNIRAMA DN,98903.22,75,7417741.5,UDN,PACK
BL-452759,ADY CIPTA BAROKAH,480000,75,36000000,ACB,PACK
BL-452760,MADUSARI RT,46000,75,3450000,MS,PACK
BL-452761,ARTA BOGA,482140,75,36160500,AB,PACK
